Industry,avg_salary
Other Retail Stores,163500.0
Motion Picture Production & Distribution,146000.0
Financial Analytics & Research,145125.0
Financial Transaction Processing,139500.0
Telecommunications Services,131500.0
Brokerage Services,129000.0
Auctions & Galleries,128000.0
Internet,123810.3448275862
Investment Banking & Asset Management,118400.0
TV Broadcast & Cable Networks,117750.0
Computer Hardware & Software,116763.15789473684
Enterprise Software & Network Solutions,113387.5
K-12 Education,113166.66666666667
Biotech & Pharmaceuticals,112571.42857142857
Insurance Agencies & Brokerages,109250.0
Consulting,109214.28571428571
Transportation Management,107500.0
Metals Brokers,107000.0
Video Games,106166.66666666667
Insurance Carriers,105303.27868852459
Real Estate,104750.0
Transportation Equipment Manufacturing,104500.0
Advertising & Marketing,104300.0
Wholesale,103166.66666666667
IT Services,102776.59574468085
Colleges & Universities,102285.71428571429
Aerospace & Defense,98791.66666666667
Logistics & Supply Chain,98250.0
Mining,98000.0
Gas Stations,98000.0
Consumer Products Manufacturing,95350.0
Security Services,93500.0
"Clothing & Shoe Stores",92666.66666666667
Health Care Services & Hospitals,89906.25
Stock Exchanges,87000.0
Industrial Manufacturing,86750.0
Consumer Product Rental,86666.66666666667
Beauty & Personal Accessories Stores,85500.0
Sporting Goods Stores,85000.0
Federal Agencies,84400.0
Lending,83000.0
Farm Support Services,80500.0
Energy,80464.28571428571
Education Training Services,79500.0
Trucking,79000.0
Research & Development,78394.73684210527
Staffing & Outsourcing,76500.0
Health Care Products Manufacturing,73000.0
Banks & Credit Unions,70625.0
Travel Agencies,69500.0
Food & Beverage Manufacturing,54000.0
Architectural & Engineering Services,50500.0
Gambling,48500.0
Social Assistance,48500.0
Telecommunications Manufacturing,44000.0
