Sector,avg_salary
Media,116666.66666666667
Information Technology,113364.16184971099
Biotech & Pharmaceuticals,112571.42857142857
Insurance,105656.71641791044
Real Estate,104750.0
Mining & Metals,104000.0
Telecommunications,102333.33333333333
Finance,101562.5
Education,100500.0
Retail,99666.66666666667
Transportation & Logistics,99312.5
Aerospace & Defense,98791.66666666667
Business Services,96073.03370786516
Health Care,89906.25
Manufacturing,88250.0
Consumer Services,86666.66666666667
Government,84400.0
Agriculture & Forestry,80500.0
"Oil and Utilities",80464.28571428571
Travel & Tourism,69500.0
"Arts and Recreation",48500.0
Non-Profit,48500.0
