job_state_full,avg_salary
California,124545.77464788733
Illinois,123791.66666666667
Utah,117125.0
Massachusetts,109147.72727272728
New Jersey,104558.82352941176
Tennessee,100500.0
Texas,100272.72727272728
Michigan,100250.0
District of Columbia,100222.22222222222
Rhode Island,100000.0
New York,98485.91549295775
North Carolina,98452.38095238095
Maryland,97357.14285714286
Kentucky,97000.0
Virginia,95375.0
Colorado,94125.0
Washington,93400.0
Oregon,92125.0
Pennsylvania,90875.0
Indiana,90300.0
Ohio,87571.42857142857
Kansas,87000.0
Arizona,85666.66666666667
Minnesota,85500.0
Missouri,83312.5
Georgia,80666.66666666667
Florida,77625.0
New Mexico,74333.33333333333
Wisconsin,73300.0
Connecticut,71100.0
South Carolina,60500.0
Alabama,57937.5
Nebraska,57000.0
Idaho,56250.0
Iowa,54500.0
Louisiana,48000.0
